donor,acceptor
426.30814,179.14403
422.30814,188.56403
413.80814,183.95653
426.0147,179.27603
422.30814,188.56403
413.80814,183.95653
441.76264,122.61232
483.80769,87.60835
473.30814,134.20903
444.30814,117.25407
423.80814,145.40653
458.83778,139.78291
440.30814,177.67403
423.56723,147.48931
407.39937,174.97536
431.9663,249.79629
463.30814,176.75903
419.50503,217.91083
447.80814,188.38653
413.81172,212.45395
431.30814,180.11903
436.8066,154.04368
476.54889,158.08364
431.30815,180.11903
432.0873,195.00158
413.80814,202.95653
410.80814,166.77153
429.72646,214.68935
413.80814,202.95653
410.80814,166.77153
386.30814,168.34403
476.80814,180.34153
440.80814,161.62153
449.30872,155.22919
510.69063,158.84608
440.80814,161.62153
449.30814,155.22903
499.32972,168.51443
354.32076,218.19608
356.8082,268.94134
389.80814,261.47655
379.87807,240.2983
339.42739,323.15432
404.80617,316.40788
411.30814,238.71903
432.30817,226.01402
529.52814,227.11512
521.3081,162.66906
500.30814,145.37403
497.82129,153.16293
521.30491,162.66914
500.30814,145.37403
454.64287,129.70956
497.30805,147.18905
408.30883,126.03401
453.76498,129.20394
496.54627,146.86212
432.31638,168.28243
444.80814,186.20153
447.30814,191.93903
466.25735,172.43832
444.80818,186.20155
447.30814,191.93903
466.30865,172.44231
474.41593,197.44019
484.80814,178.50153
465.30814,162.54903
498.30814,148.08403
490.30559,135.9438
465.24757,162.25256
442.30816,145.46398
491.94955,131.18427
485.80814,134.89653
466.80814,147.89153
491.73776,121.90061
465.80815,174.99652
468.35455,150.30651
464.30914,174.1485
465.80814,174.99653
472.80814,157.26153
432.82145,184.93915
446.80814,191.49153
491.80814,192.26654
432.80814,184.96153
446.80149,191.48439
448.30814,164.33403
470.30814,179.02403
424.30814,167.35403
448.31056,164.33196
497.97989,136.45565
489.35752,160.55803
505.78536,115.32896
500.30814,132.87403
489.30814,160.52903
460.30827,180.07369
430.30627,197.22441
436.02825,150.51435
481.30816,124.86903
498.80814,170.03153
493.80814,150.05653
541.3897,116.86653
497.19762,170.54682
493.79785,150.06352
477.80761,134.73692
445.45753,186.79492
425.30814,127.74903
440.30814,160.17403
456.81467,160.92552
437.30814,163.98903
444.81571,171.42042
456.80814,160.94153
437.30814,163.98903
450.80747,139.57555
448.84889,126.09308
453.81695,99.74875
450.80814,139.57153
450.80814,141.07153
406.12051,231.49864
417.91707,133.05482
378.94085,230.5545
522.30814,148.06403
462.30814,168.86403
470.48578,150.99722
454.30814,188.20403
484.30578,168.05412
422.82961,161.00412
461.30811,180.46906
457.80814,156.83653
472.67496,143.84467
461.28098,180.46448
457.71642,156.7596
446.80814,159.99153
444.71712,143.80127
474.30587,122.10425
409.30827,125.92908
444.30852,141.25436
475.03067,122.43806
490.80814,156.79114
508.34069,155.29373
532.29059,125.57437
486.3097,121.34629
488.30814,112.63403
532.25267,125.53418
486.30814,121.34403
488.36698,112.6444
462.29803,129.37809
462.28223,175.37883
513.20672,126.65866
379.80814,284.52653
417.9558,241.66536
394.80814,266.45153
380.19721,215.23181
370.81118,258.97054
426.94622,199.91392
380.36805,195.40523
367.41288,268.05869
346.05036,262.07193
391.80456,182.31612
443.14274,199.14349
430.30758,217.72433
414.76686,284.7279
410.62987,262.34285
377.30814,307.28903
411.27264,288.1778
389.30814,301.02903
377.30814,307.28903
473.30814,123.20903
505.30814,112.34903
513.80814,108.45653
473.30814,123.20903
505.30814,112.34903
513.80814,108.45653
294.84178,354.91102
351.80871,284.46618
415.43875,225.57285
409.30814,271.42903
436.80048,206.0486
416.30814,223.69403
409.24368,271.42659
298.80821,309.53148
335.80814,330.14653
324.80814,339.30153
301.80719,309.07382
349.8055,286.18483
353.30814,284.80903
330.75968,304.65285
349.80814,286.17653
353.30814,284.80903
358.80814,300.23153
333.99002,342.54525
320.80814,320.72153
332.3056,331.48706
341.80814,344.51653
352.80813,298.86154
325.80814,280.19654
362.80814,298.81153
352.81253,298.86211
349.94807,314.54228
337.80814,288.93653
388.80813,303.58149
444.57259,239.47208
455.30814,215.09903
423.30813,214.95903
417.31242,265.08497
455.29094,215.11542
423.3075,214.9591
417.1369,264.70469
396.30814,271.29403
348.30811,223.33434
357.80919,350.32609
349.31024,242.22815
335.80814,343.64653
488.25047,122.23488
401.3081,151.76913
355.59554,229.37038
479.62497,131.30838
356.30814,299.99403
360.05076,261.77246
312.65093,308.6785
356.30098,300.00057
363.17191,312.4613
321.80814,274.61653
343.80814,303.30653
334.3089,267.80465
321.99248,274.70014
340.98915,304.40795
308.42885,293.74425
377.25841,299.80767
326.30921,310.14589
288.36883,289.64409
327.45347,309.64643
348.30814,348.33403
378.80437,304.63605
310.30815,342.32403
324.30845,264.35401
358.30814,242.28403
403.30799,210.55924
412.29141,203.12567
402.59856,236.22001
403.30813,210.55908
412.30814,203.11403
343.47107,328.61461
377.6467,296.34595
344.80825,371.70129
363.80814,231.20653
398.30814,232.58403
420.80768,204.223
364.79832,237.19033
374.3089,276.60263
394.18354,288.84874
377.30814,312.78903
374.33974,276.56028
357.30839,242.88889
427.78,164.04805
361.30814,283.96903
373.80814,289.65653
366.30814,282.44403
361.30814,283.96903
373.80814,289.65653
366.30814,282.44403
338.30814,262.88403
489.30813,126.52904
394.06353,221.24789
529.30814,119.82903
316.30814,335.69403
356.30815,283.49402
326.30815,297.14403
332.75789,292.0947
344.30817,249.75412
394.2793,232.14237
332.80974,291.95795
344.30814,249.75403
395.67643,245.54324
352.39901,248.367
328.61958,298.33681
392.08053,311.35289
383.90493,257.78646
360.80808,230.02218
398.80196,195.13835
448.09744,177.10707
368.56713,227.49723
398.84223,195.25903
448.30811,176.83408
449.30814,201.22903
372.8135,274.25289
391.80814,312.26653
366.81328,308.16928
371.80815,259.86672
391.23386,303.38443
369.80814,306.57653
371.80814,259.86653
388.30814,258.13403
450.8047,210.57489
303.30814,366.55903
321.80814,358.11653
352.46285,336.29694
303.30827,366.55891
321.80814,358.11653
428.62389,216.70508
483.30814,142.15903
501.30814,127.26903
485.80814,123.39653
483.30814,142.15903
501.30813,127.26904
458.47819,113.93583
483.80814,121.10653
446.80748,158.49264
458.80849,200.23127
450.80815,179.57152
397.85863,207.63634
458.80814,200.23153
450.80814,179.57153
397.30729,208.19765
425.41313,219.52191
333.30857,259.40898
353.30814,267.30903
386.27699,305.85179
333.30814,259.40903
353.30852,267.30873
405.36158,195.87393
406.30814,220.24403
415.80814,228.74653
407.30832,184.63915
406.30688,220.22818
415.80814,228.74653
428.30814,198.93403
401.80811,163.71743
462.80813,157.81154
460.35705,202.50575
418.80813,208.43156
385.953,286.41618
385.80814,296.89653
379.36627,290.45814
381.80814,276.31653
385.80814,296.89653
509.80814,161.87653
450.30814,186.12403
431.30814,186.61903
426.30814,171.14403
433.32214,169.92238
431.30814,186.61903
426.30814,171.14403
452.45936,148.43039
487.31054,171.23278
491.80814,129.26653
493.80814,102.05653
321.30814,321.66903
361.80814,297.41653
402.80814,293.61153
321.35203,321.66243
361.78819,297.32386
382.72337,257.55937
398.2022,309.96765
353.80812,260.25931
358.21388,213.90208
433.30814,300.40903
406.14578,297.85298
404.30814,334.95403
433.30814,300.40903
465.30814,147.54903
436.80814,213.54153
433.08345,155.81861
462.31033,158.85578
474.80814,148.55153
465.30712,162.05022
462.30804,158.86401
474.80484,148.54989
465.30767,162.04895
429.80814,151.27653
418.30814,120.48403
321.30814,345.16903
368.30858,241.73759
346.80814,295.99153
371.29983,259.43329
329.84528,324.61263
345.93256,393.87965
371.30942,259.4214
329.30814,324.82903
347.86695,388.45882
336.69415,369.61808
297.30814,344.68903
331.30814,336.61903
342.80814,313.41153
326.30813,316.14404
340.07171,321.09291
342.77635,313.29566
326.30814,316.14403
340.30814,320.67403
338.80815,298.83152
436.80814,220.04153
429.90924,288.98097
441.80814,209.51653
436.80814,220.04153
492.80808,158.66161
355.30814,276.09903
363.30814,318.25903
338.79286,367.36508
309.34972,344.36726
363.30834,318.25773
333.30814,379.40903
502.29987,150.17235
490.11934,140.12283
416.51192,194.82466
414.30814,201.40403
449.80977,170.1753
461.79037,140.43773
414.67739,201.37334
449.80884,170.17728
462.33123,140.48765
483.08915,192.99682
444.80691,153.79702
485.92303,182.17176
491.8116,108.78305
444.2527,136.64686
485.39647,181.5259
513.32106,159.74993
471.30814,135.91903
488.30814,118.63403
516.30814,143.19384
471.65242,136.13327
488.30809,118.63408
513.73691,125.20893
476.80814,139.34154
445.31317,157.64474
474.23464,139.68888
466.30787,185.44532
482.80814,168.21153
481.41542,135.51255
532.58043,186.00824
553.30814,190.80903
528.89144,174.42831
