I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2676		1904	6	7	8	17	    	350	 7.9						 7.9		JAPAN		JAPAN:  SEA OF JAPAN	  40.000	  134.000	30																								
2678	Tsu	1904	6	25	14	45	 36.0	30	 8.3		 8.3				 7.7	10	RUSSIA		RUSSIA:  OFF KAMCHATKA	  52.000	  159.000	50								1												1				
2679	Tsu	1904	6	25	21	0	 36.0	30	 8.1		 8.1				 7.7	10	RUSSIA		RUSSIA:  OFF KAMCHATKA	  52.000	  159.000	50								1												1				
2682		1904	6	27	0	9	    	60	 7.9		 7.9				 7.9	9	RUSSIA		RUSSIA:  OFF KAMCHATKA	  52.000	  159.000	50																								
2683	Tsu	1904	8	8	22	51	    	33	 7.5						 7.5		NEW ZEALAND		NEW ZEALAND:  E OF NORTH ISLAND	 -40.500	  177.000	170																								
2688		1904	8	24	20	59	    	25	 7.9						 7.9		JAPAN		JAPAN:  KYUSHU	  30.000	  130.000	30																								
2690		1904	8	27	21	56			 8.3		 8.3	 7.8				6	USA	AK	ALASKA:  RAMPART	  64.660	 -148.080	150																								
2695		1904	11	1	11		    		 7.7						 7.7		ECUADOR		ECUADOR	  -1.000	  -80.500	160																								
2700	Tsu	1904	12	20	5	44	 18.0	60	 7.2	 7.2	 7.3						PANAMA		PANAMA:  BOCAS DEL TORO	   9.200	  -82.800	100																								
2702		1905	1	22	2	43	 54.0	90	 8.4		 8.4						INDONESIA		INDONESIA:  MINAHASSA PENINSULA	   1.000	  123.000	170																								
2703		1905	2	14	8	46			 7.9		 7.9	 7.5					USA	AK	ALASKA:  ANDREANOF ISLANDS	  50.730	 -178.550	150																								
2707		1905	3	18	0	58	    	60	 7.5						 7.5		KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS	 -27.500	 -173.000	170																								
2709	Tsu	1905	4	4	0	50	    	25	 7.8		 7.8					10	INDIA		INDIA:  KANGRA	  33.000	   76.000	60	   19000	4						4					   19000	4						4				
2713		1905	5	18	13	45	    	60	 7.5						 7.5		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -4.000	  149.000	170																								
2717		1905	6	2	5	39	 42.0	100	 7.8		 7.8						JAPAN		JAPAN:  AKI	  34.000	  132.000	30	      11	1						1	59	2	59	2	      11	1						1	59	2		
2718		1905	6	30	17	7	    	60	 7.6						 7.6		KIRIBATI		KIRIBATI:  PHOENIX ISLANDS	  -1.000	 -168.000	170																								
